Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Neg,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!,28,47.35,23.75,30.01,1.00,7.00,7.14,75.00,46.43,17.86,7.14,3.57,0.00,3.57,0.00,0.00,10.71,3.57,10.71,7.14,7.14,0.00,3.57,10.71,3.57,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,3.57,0.00,3.57,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,3.57,0.00,10.71,0.00,10.71,3.57,3.57,3.57,3.57,3.57,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,28.57,17.86,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,7.14
Neg,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???,26,42.69,87.57,63.54,25.77,8.67,3.85,80.77,46.15,15.38,15.38,0.00,3.85,11.54,0.00,0.00,0.00,7.69,7.69,7.69,11.54,3.85,0.00,15.38,3.85,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,11.54,3.85,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,7.69,3.85,11.54,0.00,0.00,11.54,3.85,3.85,0.00,3.85,0.00,0.00,23.08,3.85,23.08,0.00,0.00,0.00,30.77,3.85,0.00,0.00,0.00,15.38,0.00,0.00,0.00,3.85,0.00,7.69
Neg,fuck u @apple,3,17.96,50.00,1.00,1.00,3.00,0.00,66.67,33.33,33.33,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
Neg,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it,22,3.76,8.65,61.34,1.00,22.00,4.55,90.91,63.64,18.18,13.64,13.64,0.00,0.00,0.00,0.00,4.55,0.00,9.09,13.64,9.09,13.64,0.00,13.64,4.55,0.00,0.00,0.00,0.00,9.09,0.00,9.09,4.55,4.55,0.00,4.55,0.00,0.00,0.00,0.00,9.09,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,9.09,0.00,4.55,0.00,0.00,4.55,0.00,18.18,0.00,9.09,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,18.18,4.55,9.09,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55
Neg,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,23,46.46,9.62,54.89,1.00,23.00,4.35,91.30,43.48,17.39,8.70,8.70,0.00,0.00,0.00,0.00,8.70,4.35,8.70,0.00,13.04,4.35,0.00,13.04,8.70,0.00,4.35,0.00,4.35,13.04,0.00,13.04,0.00,8.70,0.00,4.35,0.00,0.00,0.00,0.00,17.39,4.35,4.35,0.00,4.35,4.35,0.00,8.70,0.00,4.35,4.35,17.39,0.00,8.70,8.70,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,13.04,0.00,8.70,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35
Neg,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed,21,1.00,1.00,68.01,1.00,10.50,4.76,90.48,52.38,33.33,28.57,19.05,0.00,9.52,0.00,0.00,4.76,0.00,0.00,4.76,4.76,9.52,4.76,23.81,4.76,0.00,0.00,0.00,4.76,9.52,0.00,9.52,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,19.05,0.00,4.76,9.52,4.76,4.76,4.76,0.00,0.00,0.00,0.00,9.52,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,19.05,4.76,9.52,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,28.57,9.52,19.05,0.00,0.00,0.00,14.29,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52
Neg,iMessage doesn't show the time a message was sent annoying @apple,11,79.25,81.84,31.94,1.00,11.00,27.27,81.82,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,18.18,0.00,0.00,9.09,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,18.18,9.09,0.00,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09
Neg,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg,12,80.75,4.80,1.00,1.00,6.00,8.33,58.33,25.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,16.67,0.00,8.33,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,41.67,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,25.00
Neg,RT @CircusTK: I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...,22,79.25,81.84,31.94,1.00,7.33,27.27,59.09,31.82,18.18,18.18,9.09,0.00,0.00,0.00,9.09,0.00,0.00,13.64,4.55,0.00,0.00,0.00,9.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,9.09,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,4.55,0.00,0.00,68.18,13.64,0.00,9.09,0.00,0.00,22.73,0.00,0.00,4.55,0.00,18.18
Neg,Damn it @Apple!! Whatchu done to my phone??,8,37.39,10.58,7.84,1.00,4.00,12.50,75.00,50.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,62.50,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,12.50
Neg,Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk,21,98.33,31.71,13.15,1.00,21.00,28.57,33.33,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,4.76,0.00,0.00,0.00,19.05,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
Neg,@apple why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail,22,12.85,18.16,31.94,1.00,11.00,13.64,77.27,45.45,13.64,9.09,9.09,0.00,0.00,0.00,0.00,4.55,0.00,4.55,9.09,13.64,4.55,0.00,18.18,0.00,0.00,4.55,0.00,4.55,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,18.18,0.00,4.55,4.55,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,4.55,0.00,4.55,0.00,18.18,0.00,13.64,4.55,0.00,9.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,9.09
Neg,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??,26,32.33,1.00,63.54,1.00,6.50,7.69,84.62,57.69,11.54,7.69,7.69,0.00,0.00,0.00,0.00,3.85,7.69,7.69,11.54,0.00,11.54,7.69,11.54,0.00,0.00,0.00,3.85,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,0.00,0.00,3.85,7.69,3.85,11.54,11.54,3.85,3.85,3.85,7.69,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,11.54,0.00,7.69,0.00,7.69,0.00,0.00,3.85,3.85,0.00,0.00,0.00,7.69,3.85,3.85,0.00,0.00,0.00,34.62,15.38,0.00,0.00,0.00,7.69,3.85,0.00,0.00,0.00,0.00,7.69
Neg,@apple the reservation system not working shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing,27,74.89,3.22,58.07,1.00,27.00,18.52,62.96,40.74,3.70,3.70,3.70,0.00,0.00,0.00,0.00,0.00,7.41,7.41,7.41,0.00,3.70,11.11,14.81,3.70,0.00,0.00,7.41,0.00,3.70,0.00,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,11.11,0.00,3.70,0.00,0.00,3.70,3.70,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,3.70,3.70,0.00,14.81,0.00,14.81,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70
Neg,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ...,21,10.46,50.00,98.01,1.00,5.25,23.81,71.43,47.62,23.81,23.81,19.05,0.00,4.76,0.00,0.00,0.00,0.00,9.52,14.29,9.52,0.00,0.00,23.81,0.00,0.00,0.00,9.52,0.00,4.76,0.00,4.76,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,4.76,0.00,4.76,9.52,19.05,0.00,14.29,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,4.76,0.00,0.00,66.67,23.81,0.00,4.76,0.00,0.00,4.76,0.00,0.00,9.52,0.00,23.81
Neg,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp,20,8.19,30.86,99.00,1.00,5.00,20.00,70.00,50.00,25.00,25.00,20.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,15.00,10.00,0.00,0.00,25.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,0.00,5.00,10.00,20.00,0.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,0.00,25.00
Neg,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market,10,92.84,50.00,43.37,1.00,5.00,40.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,30.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
Neg,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple,22,87.28,8.65,99.00,1.00,11.00,4.55,77.27,40.91,13.64,9.09,9.09,0.00,0.00,0.00,0.00,4.55,9.09,9.09,4.55,4.55,0.00,0.00,9.09,13.64,4.55,0.00,9.09,4.55,4.55,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,9.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,4.55,0.00,0.00,22.73,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64
Neg,9% now on my second full charge of the day. Pissed @Apple,12,98.02,4.80,99.00,1.00,6.00,0.00,75.00,41.67,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,16.67,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,16.67,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,33.33,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,25.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
Neg,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!,27,45.11,77.05,33.94,88.52,13.50,14.81,77.78,48.15,11.11,11.11,3.70,0.00,3.70,0.00,3.70,0.00,7.41,7.41,11.11,7.41,7.41,0.00,18.52,0.00,0.00,3.70,0.00,3.70,3.70,3.70,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,0.00,14.81,3.70,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,11.11,3.70,11.11,3.70,0.00,0.00,33.33,0.00,0.00,3.70,0.00,0.00,14.81,0.00,0.00,0.00,0.00,14.81
Neg,I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!,20,77.33,69.14,74.76,1.00,6.67,25.00,65.00,35.00,20.00,20.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,15.00,5.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,15.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,5.00,0.00,0.00,30.00,0.00,0.00,5.00,0.00,15.00
Neg,ugh! @apple youre reservation page for the iPhone is NOT working.,11,56.58,50.00,2.40,1.00,5.50,18.18,63.64,45.45,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,9.09,18.18,0.00,0.00,9.09,27.27,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09
Neg,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.,19,92.84,14.62,4.05,1.00,6.33,15.79,73.68,36.84,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,10.53,10.53,10.53,0.00,5.26,0.00,15.79,15.79,15.79,0.00,0.00,0.00,15.79,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,10.53,0.00,5.26,0.00,10.53,5.26,0.00,0.00,5.26,5.26,0.00,5.26,0.00,0.00,10.53,0.00,0.00,0.00,0.00,10.53,0.00,21.05,0.00,0.00,0.00,0.00,0.00,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.84,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53
Neg,Der iCloud I HATE U  AND I HOPE YOU DIE  YOU ARE THE WORST FUCKING INVENTION IN THE WORLD  FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs,24,60.80,66.17,7.84,1.00,24.00,16.67,70.83,41.67,20.83,20.83,8.33,0.00,12.50,0.00,0.00,0.00,8.33,4.17,4.17,0.00,4.17,0.00,20.83,8.33,4.17,0.00,0.00,0.00,20.83,4.17,16.67,0.00,12.50,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,20.83,4.17,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,4.17,12.50,8.33,4.17,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
Neg,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple,23,15.38,9.62,94.19,25.77,11.50,8.70,82.61,56.52,26.09,17.39,17.39,0.00,0.00,0.00,0.00,8.70,0.00,13.04,8.70,0.00,8.70,4.35,17.39,0.00,0.00,0.00,4.35,0.00,8.70,4.35,4.35,0.00,0.00,4.35,8.70,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,4.35,0.00,8.70,4.35,13.04,0.00,8.70,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35
Neg,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.,19,21.43,14.62,81.22,1.00,6.33,15.79,84.21,47.37,21.05,10.53,10.53,0.00,0.00,0.00,0.00,10.53,0.00,10.53,10.53,5.26,5.26,0.00,26.32,0.00,0.00,0.00,0.00,10.53,10.53,0.00,10.53,0.00,5.26,5.26,5.26,0.00,0.00,0.00,0.00,21.05,0.00,5.26,0.00,5.26,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,10.53,0.00,5.26,5.26,0.00,0.00,15.79,0.00,0.00,15.79,0.00,10.53,5.26,5.26,5.26,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,26.32,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53
Neg,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!,12,1.00,1.00,23.51,99.00,4.00,8.33,75.00,50.00,16.67,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,8.33,33.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,16.67,0.00,125.00,16.67,0.00,0.00,0.00,8.33,33.33,16.67,0.00,8.33,0.00,41.67
Neg,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!,23,80.03,19.23,98.89,93.61,11.50,17.39,86.96,43.48,13.04,8.70,4.35,0.00,0.00,0.00,4.35,4.35,0.00,17.39,4.35,4.35,0.00,4.35,21.74,8.70,8.70,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,17.39,0.00,4.35,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,8.70,0.00,17.39,4.35,4.35,8.70,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.78,17.39,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,0.00,4.35
Neg,@apple u guys are gay,5,8.19,99.00,1.00,25.77,5.00,0.00,80.00,40.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
Neg,Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo,21,40.66,17.04,37.24,99.00,4.20,14.29,47.62,33.33,9.52,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52,0.00,0.00,0.00,0.00,14.29,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,47.62,28.57,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,14.29
Neg,none of my apps work after the new ios from @apple. what do i do?!?,15,69.57,2.31,82.75,25.77,7.50,0.00,86.67,66.67,20.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,6.67,20.00,13.33,0.00,0.00,6.67,13.33,13.33,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,20.00,0.00,13.33,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,33.33,6.67,0.00,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,6.67
Neg,Seemingly endless loop of calls to @apple @ups @verizonwireless to investigate my missing #iphone4s. #crankywithnophone,15,99.00,50.00,10.08,1.00,7.50,46.67,60.00,26.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
